TIMESTAMP		DIRECTION	DATA
2016-11-16 19:29:06	>>		0105
2016-11-16 19:29:06	<<		7E803410580
2016-11-16 19:29:06	>>		010C
2016-11-16 19:29:06	<<		7E804410C1BB0
2016-11-16 19:29:06	>>		010D
2016-11-16 19:29:07	<<		7E803410D34
2016-11-16 19:29:07	>>		010F
2016-11-16 19:29:07	<<		7E803410F56
2016-11-16 19:29:07	>>		0105
2016-11-16 19:29:07	<<		7E803410580
2016-11-16 19:29:07	>>		010C
2016-11-16 19:29:07	<<		7E804410C1BBB
2016-11-16 19:29:07	>>		010D
2016-11-16 19:29:08	<<		7E803410D35
2016-11-16 19:29:08	>>		010F
2016-11-16 19:29:08	<<		7E803410F56
2016-11-16 19:29:08	>>		0105
2016-11-16 19:29:08	<<		7E803410580
2016-11-16 19:29:08	>>		010C
2016-11-16 19:29:08	<<		7E804410C1BAF
2016-11-16 19:29:08	>>		010D
2016-11-16 19:29:09	<<		7E803410D35
2016-11-16 19:29:09	>>		010F
2016-11-16 19:29:09	<<		7E803410F56
2016-11-16 19:29:09	>>		0105
2016-11-16 19:29:09	<<		7E803410580
2016-11-16 19:29:09	>>		010C
2016-11-16 19:29:09	<<		7E804410C1B96
2016-11-16 19:29:09	>>		010D
2016-11-16 19:29:10	<<		7E803410D34
2016-11-16 19:29:10	>>		010F
2016-11-16 19:29:10	<<		7E803410F56
2016-11-16 19:29:10	>>		0105
2016-11-16 19:29:10	<<		7E803410580
2016-11-16 19:29:10	>>		010C
2016-11-16 19:29:11	<<		7E804410C1B9B
2016-11-16 19:29:11	>>		010D
2016-11-16 19:29:11	<<		7E803410D34
2016-11-16 19:29:11	>>		010F
2016-11-16 19:29:11	<<		7E803410F56
2016-11-16 19:29:11	>>		0105
2016-11-16 19:29:11	<<		7E803410580
2016-11-16 19:29:11	>>		010C
2016-11-16 19:29:12	<<		7E804410C1C12
2016-11-16 19:29:12	>>		010D
2016-11-16 19:29:12	<<		7E803410D35
2016-11-16 19:29:12	>>		010F
2016-11-16 19:29:12	<<		7E803410F56
2016-11-16 19:29:12	>>		0105
2016-11-16 19:29:12	<<		7E803410580
2016-11-16 19:29:12	>>		010C
2016-11-16 19:29:13	<<		7E804410C1C7E
2016-11-16 19:29:13	>>		010D
2016-11-16 19:29:13	<<		7E803410D36
